model,rat,incl_train,slp_path,h5_path
198_402,198,in,C:/Users/cns-th-lab/SLEAP_Labels_198_402/198/Videos/198.2025-07-28.mov_0001.proj.slp,C:/Users/cns-th-lab/SLEAP_Labels_198_402/198/Videos/198.2025-07-28.mov_0001.proj_analysis.h5
198_402,198,out,C:\Users\cns-th-lab\SLEAP_Labels_198_402\198\Videos\198.2025-08-23.mov_0014.proj.slp,C:\Users\cns-th-lab\SLEAP_Labels_198_402\198\Videos\198.2025-08-23.mov_0014.proj_analysis.h5
198_402,199,in,C:\Users\cns-th-lab\SLEAP_Labels_198_402\199\Videos\199.2025-07-28.mov_0001.proj.slp,C:\Users\cns-th-lab\SLEAP_Labels_198_402\199\Videos\199.2025-07-28.mov_0001.proj_analysis.h5
198_402,199,out,C:\Users\cns-th-lab\SLEAP_Labels_198_402\199\Videos\199.2025-08-23.mov_0014.proj.slp,C:\Users\cns-th-lab\SLEAP_Labels_198_402\199\Videos\199.2025-08-23.mov_0014.proj_analysis.h5
198_402,237,in,C:\Users\cns-th-lab\SLEAP_Labels_198_402\237\Videos\237.2026-03-31.mov_0001.proj.slp,C:\Users\cns-th-lab\SLEAP_Labels_198_402\237\Videos\237.2026-03-31.mov_0001.proj_analysis.h5
198_402,237,out,C:\Users\cns-th-lab\SLEAP_Labels_198_402\237\Videos\237.2026-04-03.mov_0004.proj.slp,C:\Users\cns-th-lab\SLEAP_Labels_198_402\237\Videos\237.2026-04-03.mov_0004.proj_analysis.h5
198_402,238,in,C:\Users\cns-th-lab\SLEAP_Labels_198_402\238\Videos\238.2026-03-31.mov_0001.proj.slp,C:\Users\cns-th-lab\SLEAP_Labels_198_402\238\Videos\238.2026-03-31.mov_0001.proj_analysis.h5
198_402,238,out,C:\Users\cns-th-lab\SLEAP_Labels_198_402\238\Videos\238.2026-04-03.mov_0004.proj.slp,C:\Users\cns-th-lab\SLEAP_Labels_198_402\238\Videos\238.2026-04-03.mov_0004.proj_analysis.h5
198_237x_402,198,in,C:\Users\cns-th-lab\SLEAP_Labels_198_237x_402\198\Videos\198.2025-07-28.mov_0001.proj.slp,C:\Users\cns-th-lab\SLEAP_Labels_198_237x_402\198\Videos\198.2025-07-28.mov_0001.proj_analysis.h5
198_237x_402,198,out,C:\Users\cns-th-lab\SLEAP_Labels_198_237x_402\198\Videos\198.2025-08-23.mov_0014.proj.slp,C:\Users\cns-th-lab\SLEAP_Labels_198_237x_402\198\Videos\198.2025-08-23.mov_0014.proj_analysis.h5
198_237x_402,199,in,C:\Users\cns-th-lab\SLEAP_Labels_198_237x_402\199\Videos\199.2025-07-28.mov_0001.proj.slp,C:\Users\cns-th-lab\SLEAP_Labels_198_237x_402\199\Videos\199.2025-07-28.mov_0001.proj_analysis.h5
198_237x_402,199,out,C:\Users\cns-th-lab\SLEAP_Labels_198_237x_402\199\Videos\199.2025-08-23.mov_0014.proj.slp,C:\Users\cns-th-lab\SLEAP_Labels_198_237x_402\199\Videos\199.2025-08-23.mov_0014.proj_analysis.h5
198_237x_402,237,in,C:\Users\cns-th-lab\SLEAP_Labels_198_237x_402\237\Videos\237.2026-03-31.mov_0001.proj.slp,C:\Users\cns-th-lab\SLEAP_Labels_198_237x_402\237\Videos\237.2026-03-31.mov_0001.proj_analysis.h5
198_237x_402,237,out,C:\Users\cns-th-lab\SLEAP_Labels_198_237x_402\237\Videos\237.2026-04-03.mov_0004.proj.slp,C:\Users\cns-th-lab\SLEAP_Labels_198_237x_402\237\Videos\237.2026-04-03.mov_0004.proj_analysis.h5
198_237x_402,238,in,C:\Users\cns-th-lab\SLEAP_Labels_198_237x_402\238\Videos\238.2026-03-31.mov_0001.proj.slp,C:\Users\cns-th-lab\SLEAP_Labels_198_237x_402\238\Videos\238.2026-03-31.mov_0001.proj_analysis.h5
198_237x_402,238,out,C:\Users\cns-th-lab\SLEAP_Labels_198_237x_402\238\Videos\238.2026-04-03.mov_0004.proj.slp,C:\Users\cns-th-lab\SLEAP_Labels_198_237x_402\238\Videos\238.2026-04-03.mov_0004.proj_analysis.h5
198_199x_237x_402,198,in,C:/Users/cns-th-lab/SLEAP_Labels_198_199x_237x_402/198/Videos/198.2025-07-28.mov_0001.proj.slp,C:/Users/cns-th-lab/SLEAP_Labels_198_199x_237x_402/198/Videos/198.2025-07-28.mov_0001.proj_analysis.h5
198_199x_237x_402,198,out,C:\Users\cns-th-lab\SLEAP_Labels_198_199x_237x_402\198\Videos\198.2025-08-23.mov_0014.proj.slp,C:\Users\cns-th-lab\SLEAP_Labels_198_199x_237x_402\198\Videos\198.2025-08-23.mov_0014.proj_analysis.h5
198_199x_237x_402,199,in,C:\Users\cns-th-lab\SLEAP_Labels_198_199x_237x_402\199\Videos\199.2025-07-28.mov_0001.proj.slp,C:\Users\cns-th-lab\SLEAP_Labels_198_199x_237x_402\199\Videos\199.2025-07-28.mov_0001.proj_analysis.h5
198_199x_237x_402,199,out,C:\Users\cns-th-lab\SLEAP_Labels_198_199x_237x_402\199\Videos\199.2025-08-23.mov_0014.proj.slp,C:\Users\cns-th-lab\SLEAP_Labels_198_199x_237x_402\199\Videos\199.2025-08-23.mov_0014.proj_analysis.h5
198_199x_237x_402,237,in,C:\Users\cns-th-lab\SLEAP_Labels_198_199x_237x_402\237\Videos\237.2026-03-31.mov_0001.proj.slp,C:\Users\cns-th-lab\SLEAP_Labels_198_199x_237x_402\237\Videos\237.2026-03-31.mov_0001.proj_analysis.h5
198_199x_237x_402,237,out,C:\Users\cns-th-lab\SLEAP_Labels_198_199x_237x_402\237\Videos\237.2026-04-03.mov_0004.proj.slp,C:\Users\cns-th-lab\SLEAP_Labels_198_199x_237x_402\237\Videos\237.2026-04-03.mov_0004.proj_analysis.h5
198_199x_237x_402,238,in,C:\Users\cns-th-lab\SLEAP_Labels_198_199x_237x_402\238\Videos\238.2026-03-31.mov_0001.proj.slp,C:\Users\cns-th-lab\SLEAP_Labels_198_199x_237x_402\238\Videos\238.2026-03-31.mov_0001.proj_analysis.h5
198_199x_237x_402,238,out,C:\Users\cns-th-lab\SLEAP_Labels_198_199x_237x_402\238\Videos\238.2026-04-03.mov_0004.proj.slp,C:\Users\cns-th-lab\SLEAP_Labels_198_199x_237x_402\238\Videos\238.2026-04-03.mov_0004.proj_analysis.h5
